sample_idx,patient_id,condition,task,electrode,file_path,prop_above_pos,prop_below_neg,high_activity,UMAP_1,UMAP_2,cluster_kmeans_raw
27,EL030,audio,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L9_TN.npy,0.05594315245478036,0.004521963824289405,True,4.5169735,6.10578,11
28,EL030,audio,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R13_TN.npy,0.02426356589147287,0.006563307493540052,True,4.424414,6.8398085,17
29,EL030,audio,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R14_TN.npy,0.03917312661498708,0.028294573643410852,True,4.4972653,6.8031898,17
30,EL030,audio,LM,aH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R15_TN.npy,0.0362015503875969,0.028940568475452195,True,4.4329967,6.736696,17
31,EL030,audio,LM,EntG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R12_TN.npy,0.022739018087855296,0.004392764857881137,True,4.2059,7.469503,27
32,EL030,audio,LM,EntG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_EntG_R13_TN.npy,0.021214470284237726,0.009689922480620155,True,4.3147717,7.3167534,17
33,EL030,audio,LM,pH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R10_TN.npy,0.021343669250645996,0.01124031007751938,True,4.3567367,6.7873216,17
34,EL030,audio,LM,pH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R11_TN.npy,0.020671834625323,0.03382428940568476,True,4.3796024,6.832821,17
35,EL030,audio,LM,pH,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pH_R12_TN.npy,0.02129198966408269,0.03074935400516796,True,4.4230175,6.7855167,17
36,EL030,audio,LM,pHG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R11_TN.npy,0.02152454780361757,0.006718346253229974,True,4.128124,6.4516077,17
37,EL030,audio,LM,pHG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R12_TN.npy,0.08149870801033592,0.01124031007751938,True,4.1078434,6.37422,17
38,EL030,audio,LM,pHG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R13_TN.npy,0.1240826873385013,0.02020671834625323,True,4.068573,6.389968,17
39,EL030,audio,LM,pHG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R14_TN.npy,0.12087855297157622,0.021757105943152454,True,4.0567617,6.370915,17
40,EL030,audio,LM,pHG,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R15_TN.npy,0.11909560723514212,0.020180878552971578,True,4.0924087,6.354478,17
41,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L10_TN.npy,0.06537467700258398,0.0016537467700258397,True,3.665266,12.604448,9
42,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L11_TN.npy,0.060542635658914726,0.0007493540051679587,True,3.6839669,12.610364,9
43,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L12_TN.npy,0.0851937984496124,0.00046511627906976747,True,3.7678075,12.739373,9
44,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L13_TN.npy,0.17103359173126614,0.0004392764857881137,True,3.7214055,12.700785,9
45,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L14_TN.npy,0.1628423772609819,0.0005943152454780362,True,3.8076901,12.782022,9
46,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L15_TN.npy,0.16599483204134366,0.0006718346253229974,True,3.7621922,12.738308,9
47,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L2_TN.npy,0.021602067183462532,0.002041343669250646,True,3.6875224,11.995932,9
48,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L3_TN.npy,0.029560723514211885,0.0006718346253229974,True,3.7232118,12.017583,9
49,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L4_TN.npy,0.02689922480620155,0.00028423772609819124,True,3.679366,12.064253,9
50,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L5_TN.npy,0.029741602067183463,0.00023255813953488373,True,3.6611493,12.1614065,9
51,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L6_TN.npy,0.03715762273901809,0.0008268733850129199,True,3.6511493,12.36307,9
52,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L7_TN.npy,0.053565891472868214,0.00028423772609819124,True,3.6282725,12.382862,9
53,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L8_TN.npy,0.04888888888888889,0.0007751937984496124,True,3.6546109,12.484162,9
54,EL030,picture,LM,A,\\nasac-m2.unige.ch\m-HumanNeuronLab\ANALYSIS\FLM\Analysis_LoraFanda\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L9_TN.npy,0.061989664082687336,0.0004909560723514212,True,3.5747728,12.539542,9
